"Date","Name","Country",
"1 Oct 2015","Grand Prix Tashkent 2015","Uzbekistan","View results"
"26 Sep 2015","Senior European Cup Belgrade 2015","Serbia","View results"
"19 Sep 2015","World Kata Championships 2015","Netherlands","View inscriptions"
"13 Sep 2015","African Games 2015","Congo","View results"
"5 Sep 2015","Senior European Cup Bratislava 2015","Slovakia","View inscriptions"
"24 Aug 2015","World Championships Seniors 2015","Kazakhstan","View results"
"25 Jul 2015","Asian Open Taipei 2015","Chinese Taipei","View results"
"18 Jul 2015","Grand Slam Tyumen 2015","Russia","View results"
"18 Jul 2015","Senior European Cup Sindelfingen 2015","Germany","View inscriptions"
"11 Jul 2015","Pan American Games 2015","Canada","View results"
"11 Jul 2015","Senior European Cup London 2015","Great Britain","View results"
"3 Jul 2015","Grand Prix Ulaanbaatar 2015","Mongolia","View results"
"27 Jun 2015","Pan American Open San Salvador 2015","El Salvador","View results"
"25 Jun 2015","European Championship Seniors 2015 / European Games 2015","Azerbaijan","View results"
"13 Jun 2015","Grand Prix Budapest 2015","Hungary","View results"
"13 Jun 2015","Senior European Cup Celje-Podcetrtek 2015","Slovenia","View results"
"6 Jun 2015","European Open Minsk 2015","Belarus","View results"
"2 Jun 2015","European Open Cluj Napoca 2015","Romania","View results"
"23 May 2015","Kata European Championships 2015","Belgium","View inscriptions"
"23 May 2015","Masters Morocco 2015","Morocco","View results"
"16 May 2015","Senior European Cup Orenburg 2015","Russia","View results"
"13 May 2015","Asian Championships Seniors 2015","Kuwait","View results"
"8 May 2015","Grand Slam Baku 2015","Azerbaijan","View results"
"1 May 2015","Grand Prix Zagreb 2015","Croatia","View results"
"24 Apr 2015","Pan American Championships Seniors 2015","Canada","View results"
"24 Apr 2015","African Kata Championships 2015","Gabon","View inscriptions"
"23 Apr 2015","African Championships Seniors 2015","Gabon","View results"
"18 Apr 2015","Kata tournament Tours 2015","France","View inscriptions"
"10 Apr 2015","Oceania Championships Seniors 2015","New Caledonia","View results"
"27 Mar 2015","Grand Prix Samsun 2015","Turkey","View results"
"21 Mar 2015","Senior European Cup Sarajevo 2015","Bosnia and Herzegovina","View results"
"21 Mar 2015","Pan American Open Buenos Aires 2015","Argentina","View results"
"20 Mar 2015","Grand Prix Tbilisi 2015","Georgia","View results"
"14 Mar 2015","African Open Casablanca 2015","Morocco","View results"
"14 Mar 2015","Pan American Open Montevideo 2015","Uruguay","View results"
"7 Mar 2015","Senior European Cup Uster 2015","Switzerland","View results"
"7 Mar 2015","Pan American Open Santiago 2015","Chile","View results"
"28 Feb 2015","European Open Warsaw 2015","Poland","View results"
"28 Feb 2015","European Open Prague 2015","Czech Republic","View results"
"20 Feb 2015","Grand Prix Dusseldorf 2015","Germany","View results"
